datetime,TempC,PrecipIn,Gage_Height,SC,DO,pH,Turbidity,Nitrat_Nitrite
2017-06-28 00:00:00+00:00,21.175,0.003958333,6.162291667,293.0752688,1.6,7.4,0.10625,
2017-06-29 00:00:00+00:00,21.2,0.001222222,6.121075269,293.6276596,1.50106383,7.4,0.117708333,0.37025
2017-06-30 00:00:00+00:00,21.22708333,0.000104167,6.060625,294.6526316,1.5,7.4,0.095833333,0.371770833
2017-07-01 00:00:00+00:00,21.24479167,0,5.984270833,295.8315789,1.495833333,7.4,0.095833333,0.371041667
2017-07-02 00:00:00+00:00,21.24895833,0,5.885625,297.1666667,1.459375,7.4,0.094791667,0.376875
2017-07-03 00:00:00+00:00,21.23854167,0,5.773854167,299.65625,1.486458333,7.4,0.092708333,0.38
2017-07-04 00:00:00+00:00,21.23020833,0,5.680625,302.6354167,1.501041667,7.4,0.080208333,0.381875
2017-07-05 00:00:00+00:00,21.20208333,0,5.594166667,305.6770833,1.516666667,7.4,0.09893617,0.389270833
2017-07-06 00:00:00+00:00,21.13229167,0.000104167,5.546979167,308.4583333,1.519791667,7.4,0.153333333,0.391041667
2017-07-07 00:00:00+00:00,21.121875,0.001354167,5.504479167,310.6979167,1.520833333,7.4,0.044791667,0.394166667
2017-07-08 00:00:00+00:00,21.11354167,0.000833333,5.507291667,312.34375,1.514583333,7.4,0.075531915,0.39625
2017-07-09 00:00:00+00:00,21.10625,0.0053125,5.50375,312.4069767,1.508421053,7.407291667,0.029166667,0.395104167
2017-07-10 00:00:00+00:00,21.10104167,0.004166667,5.533854167,312.9569892,1.441052632,7.41875,0.021875,0.389791667
2017-07-11 00:00:00+00:00,21.08854167,0.009791667,5.5575,315.106383,1.431914894,7.436458333,0.028125,0.388125
2017-07-12 00:00:00+00:00,21.11041667,0.007395833,5.623229167,315.5520833,1.426315789,7.457291667,0.01875,0.383125
2017-07-13 00:00:00+00:00,21.12604167,0,5.6459375,315.4791667,1.41875,7.434375,0.019791667,0.380208333
2017-07-14 00:00:00+00:00,21.11041667,0.028229167,5.682291667,314.6875,1.426086957,7.446875,0.020833333,0.380625
2017-07-15 00:00:00+00:00,21.1125,0.006875,5.7234375,314.2065217,1.404301075,7.408333333,0.025,0.380104167
2017-07-16 00:00:00+00:00,21.109375,0.006145833,5.751458333,313.1797753,1.403191489,7.407291667,0.033684211,0.38
2017-07-17 00:00:00+00:00,21.11145833,0.003333333,5.811979167,312.787234,1.404166667,7.404166667,0.067741935,0.3765625
2017-07-18 00:00:00+00:00,21.10833333,0.000104167,5.856145833,312.3229167,1.370833333,7.401041667,0.180952381,0.37125
2017-07-19 00:00:00+00:00,21.13125,0,5.850729167,312.2604167,1.419791667,7.401041667,0.391935484,0.370520833
2017-07-20 00:00:00+00:00,21.12395833,0.001770833,5.807291667,312.5,1.429166667,7.403125,0.208988764,0.3740625
2017-07-21 00:00:00+00:00,21.121875,0.007395833,5.770208333,312.712766,1.441052632,7.408333333,0.081052632,0.37875
2017-07-22 00:00:00+00:00,21.11145833,0.000416667,5.725729167,313.0416667,1.445263158,7.4125,0.0375,0.379375
2017-07-23 00:00:00+00:00,21.1,0.000520833,5.748541667,312.6458333,1.428125,7.407291667,0.040625,0.378541667
2017-07-24 00:00:00+00:00,21.12291667,0.000416667,5.801770833,312.28125,1.434375,7.410416667,0.041666667,0.371979167
2017-07-25 00:00:00+00:00,21.12604167,0.004583333,5.747083333,312.5638298,1.45,7.4,0.041666667,0.375625
2017-07-26 00:00:00+00:00,21.13020833,0.000104167,5.688020833,312.8181818,1.465625,7.408333333,0.030107527,0.379583333
2017-07-27 00:00:00+00:00,21.13020833,0.004375,5.6353125,313.1666667,1.515625,7.436458333,0.01875,0.380104167
2017-07-28 00:00:00+00:00,21.128125,0.0009375,5.567604167,313.5729167,1.532291667,7.484375,0.013541667,0.384270833
2017-07-29 00:00:00+00:00,21.11458333,0.003020833,5.5203125,313.9895833,1.535416667,7.5,0.046808511,0.388333333
2017-07-30 00:00:00+00:00,21.12604167,0.001770833,5.481875,314.25,1.546875,7.498958333,0.040425532,0.389895833
2017-07-31 00:00:00+00:00,21.13333333,0,5.4265625,314.2631579,1.569791667,7.5,0.017894737,0.39
2017-08-01 00:00:00+00:00,21.10208333,0,5.364895833,315.0107527,1.580208333,7.5,0.122222222,0.391666667
